"Years";"Weeks";"Gross margin 1 - Dema MTA";"Compare range: Gross margin 1 - Dema MTA";"Gross margin 2 - Dema MTA";"Compare range: Gross margin 2 - Dema MTA";"Net gross margin 1 - Dema MTA";"Compare range: Net gross margin 1 - Dema MTA";"Net gross margin 2 - Dema MTA";"Compare range: Net gross margin 2 - Dema MTA"
"2024";"Week 14, 2024";"0.7624041319263187";"0";"0.609869022345682";"0";"0.7639997123009917";"0";"0.5912865527891323";"0"
"2024";"Week 15, 2024";"0.7606904570898129";"0";"0.60783546798064";"0";"0.759883966603347";"0";"0.575239881841355";"0"
"2024";"Week 16, 2024";"0.7727866333424652";"0";"0.623013307885454";"0";"0.7730844836692997";"0";"0.6077019000883389";"0"
"2024";"Week 17, 2024";"0.7694777295304861";"0";"0.6180126475302723";"0";"0.7684397721124391";"0";"0.5927779454272116";"0"
"2024";"Week 18, 2024";"0.7488797000594171";"0";"0.5981284421514869";"0";"0.7491256983670511";"0";"0.5699390277438686";"0"
"2024";"Week 19, 2024";"0.7567682967832228";"0";"0.6038496453440911";"0";"0.7538424353866872";"0";"0.5695578481739233";"0"
"2024";"Week 20, 2024";"0.7719001955448379";"0";"0.6246412001648746";"0";"0.7718472860828245";"0";"0.5932621479049524";"0"
"2024";"Week 21, 2024";"0.7768546174488228";"0";"0.6359337323201412";"0";"0.7757754539341731";"0";"0.606358949354653";"0"
"2024";"Week 22, 2024";"0.7852439620200314";"0";"0.6486100810473998";"0";"0.7840158030127315";"0";"0.6216179462519281";"0"
"2024";"Week 23, 2024";"0.7538145745934002";"0";"0.6091081630561379";"0";"0.753183881933405";"0";"0.5868974932948312";"0"
"2024";"Week 24, 2024";"0.7547184527102812";"0";"0.605183606001098";"0";"0.7544522901687767";"0";"0.5764349298631776";"0"
"2024";"Week 25, 2024";"0.7605484598304536";"0";"0.6068677652598089";"0";"0.760159181897902";"0";"0.5690325294919649";"0"
"2024";"Week 26, 2024";"0.7418338318674841";"0";"0.5841158837826732";"0";"0.744389322871064";"0";"0.5542059783646126";"0"
"2024";"Week 27, 2024";"0.7737903515629522";"0";"0.6251424136978411";"0";"0.7756757934368759";"0";"0.5992044248660503";"0"
"2024";"Week 28, 2024";"0.7706401702858895";"0";"0.6217944799385832";"0";"0.7697106566938201";"0";"0.595354175326444";"0"
"2024";"Week 29, 2024";"0.7130477497720376";"0";"0.554180481916893";"0";"0.7178266313328057";"0";"0.5197881754287079";"0"
"2024";"Week 30, 2024";"0.731960899105523";"0";"0.5809750675224344";"0";"0.7338188593794817";"0";"0.5594573538921032";"0"
"2024";"Week 31, 2024";"0.7386468503203526";"0";"0.5895848462905607";"0";"0.7426105234248598";"0";"0.5573147609190802";"0"
